20030306 02:00,0.01
20030306 03:00,0.01
20030306 04:00,0.01
20030306 05:00,0
20030306 06:00,0.1
20030306 08:00,0
20030306 09:00,0
20030306 10:00,0
20030306 11:00,0
20030306 12:00,0
20030308 14:00,0.1
20030308 15:00,0.1
20030308 16:00,0.1
20030312 20:00,0
20030312 21:00,0
20030312 22:00,0
20030312 23:00,0
20030313 00:00,0
20030313 01:00,0
20030313 02:00,0
20030313 03:00,0.1
20030313 13:00,0.1
20030316 09:00,0.1
20030319 04:00,0
20030319 05:00,0
20030319 06:00,0
20030319 07:00,0
20030319 08:00,0
20030319 10:00,0
20030319 11:00,0.01
20030319 12:00,0.03
20030319 13:00,0
20030319 15:00,0.1
20030319 16:00,0
20030319 17:00,0
20030319 20:00,0.1
20030319 21:00,0.3
20030319 22:00,0.01
20030320 04:00,0
20030320 05:00,0
20030320 06:00,0
20030320 10:00,0.03
20030320 11:00,0.07
20030320 12:00,0.1
20030320 13:00,0
20030320 16:00,0.4
20030320 17:00,0.1
20030321 03:00,0.01
20030321 04:00,0.02
20030321 06:00,0
20030321 07:00,0
20030321 08:00,0
20030321 23:00,0
20030324 13:00,0.1
20030324 20:00,0.01
20030324 21:00,0.02
20030324 22:00,0
20030324 23:00,0.02
20030325 00:00,0.02
20030325 01:00,0.1
20030325 02:00,0.06
20030325 03:00,0.04
20030326 22:00,0
20030326 23:00,0
20030327 00:00,0.01
20030327 01:00,0
20030327 23:00,0.05
20030328 00:00,0
20030328 08:00,0
20030328 09:00,0.06
20030328 10:00,0.08
20030328 11:00,0
20030328 12:00,0.02
20030328 13:00,0.03
20030328 14:00,0.04
20030328 15:00,0.2
20030328 16:00,0.05
20030328 17:00,0.03
20030328 18:00,0
20030328 19:00,0
20030328 20:00,0
20030329 14:00,0
20030329 15:00,0
20030329 16:00,0
20030329 18:00,0
20030329 19:00,0
20030329 21:00,0
20030329 22:00,0
20030330 18:00,0
20030331 11:00,0.1
20030331 18:00,0
20030331 19:00,0.01
20030331 20:00,0.04
20030331 21:00,0
20030331 22:00,0.01
20030331 23:00,0
20030403 01:00,0
20030403 09:00,0
20030403 10:00,0.03
20030403 14:00,0
20030403 15:00,0.02
20030403 16:00,0.03
20030403 17:00,0.11
20030403 18:00,0
20030403 19:00,0
20030403 20:00,0
20030403 21:00,0.29
20030403 22:00,0.1
20030403 23:00,0
20030404 00:00,0.35
20030404 01:00,0.06
20030404 02:00,0.2
20030404 03:00,0.15
20030404 04:00,0.02
20030404 05:00,0.05
20030404 06:00,0.1
20030404 09:00,0.1
20030404 10:00,0.1
20030404 11:00,0.2
20030404 12:00,0.03
20030404 13:00,0.2
20030404 14:00,0.1
20030404 15:00,0.01
20030404 16:00,0.59
20030404 17:00,0.12
20030404 18:00,0.1
20030404 19:00,0.1
20030404 20:00,0
20030404 22:00,0
20030404 23:00,0.01
20030405 00:00,1.46
20030406 23:00,0
20030407 00:00,0
20030407 01:00,0
20030407 02:00,0.1
20030407 03:00,0.1
20030407 04:00,0.03
20030407 05:00,0.05
20030407 06:00,0.03
20030407 07:00,0
20030407 08:00,0.01
20030407 09:00,0
20030407 10:00,0
20030407 11:00,0
20030407 12:00,0
20030407 13:00,0
20030407 14:00,0
20030407 15:00,0
20030407 16:00,0
20030407 17:00,0
20030407 18:00,0
20030407 19:00,0
20030407 20:00,0
20030407 21:00,0
20030407 22:00,0
20030407 23:00,0
20030408 00:00,0.25
20030408 08:00,0
20030408 09:00,0
20030416 20:00,0
20030416 21:00,0
20030417 00:00,0.01
20030417 01:00,0
20030417 08:00,0
20030417 09:00,0
20030417 11:00,0
20030417 12:00,0.01
20030417 13:00,0
20030417 16:00,0.1
20030417 22:00,0
20030418 00:00,0.02
20030418 08:00,0.1
20030419 14:00,0
20030419 16:00,0
20030419 17:00,0
20030419 18:00,0.01
20030419 22:00,0
20030419 23:00,0
20030420 01:00,0
20030420 05:00,0
20030420 06:00,0.04
20030421 00:00,0.12
20030421 01:00,0
20030421 09:00,0
20030421 10:00,0
20030421 11:00,0
20030421 12:00,0
20030421 13:00,0
20030422 00:00,0.02
20030422 09:00,0.1
20030429 01:00,0
20030429 16:00,0
20030429 17:00,0.01
20030429 18:00,0.03
20030429 19:00,0.02
20030429 20:00,0.02
20030429 21:00,0
20030430 00:00,0.03
20030430 01:00,0
20030430 04:00,0
20030430 05:00,0.18
20030430 06:00,0.17
20030430 07:00,0.05
20030430 08:00,0.3
20030430 09:00,0.09
20030430 10:00,0
20030430 12:00,0
20030430 13:00,0
20030430 14:00,0.01
20030430 15:00,0.12
20030430 19:00,0
20030430 20:00,0
20030430 22:00,0.51
20030430 23:00,0.51
20030501 00:00,1.19
20030501 01:00,0
20030501 02:00,0.19
20030501 03:00,0.12
